MeasureID,Behavior,Dimensions,Item,Xnum,Text
2,Transactional,Contingent Reward,Item1,1,Always gives me positive feedback when I perform well
2,Transactional,Contingent Reward,Item2,2,Gives me special recognition when my work is very good
2,Transactional,Contingent Reward,Item3,3,Commends me when I do a better than average job
2,Transactional,Contingent Reward,Item4,4,Personally compliments me when I do outstanding work
2,Transactional,Contingent Reward,Item5,5,Frequently does not acknowledge my good performance
3,Transformational,Articulates Vision,Item1,6,Has a clear understanding of where we are going
3,Transformational,Articulates Vision,Item2,7,Paints an interesting picture of the future for our group.
3,Transformational,Articulates Vision,Item3,8,Is always seeking new opportunities for the organization.
3,Transformational,Articulates Vision,Item4,9,Inspires others with his/her plans for the future.
3,Transformational,Articulates Vision,Item5,10,Is able to get others committed to his/her dream.
3,Transformational,Provide appropriate model,Item1,11,"Leads by ""doing,"" rather than simply by ""telling."
3,Transformational,Provide appropriate model,Item2,12,Provides a good model for me to follow.
3,Transformational,Provide appropriate model,Item3,13,Leads by example.
3,Transformational,Fostering acceptance of group goals,Item1,14,Fosters collaboration among work groups.
3,Transformational,Fostering acceptance of group goals,Item2,15,"Encourages employees to be ""team players."
3,Transformational,Fostering acceptance of group goals,Item3,16,Gets the group to work together for the same goal.
3,Transformational,Fostering acceptance of group goals,Item4,17,Develops a team attitude and spirit among employees.
3,Transformational,High Performance Expectations,Item1,18,Shows us that he/she expects a lot from us.
3,Transformational,High Performance Expectations,Item2,19,Insists on only the best performance.
3,Transformational,High Performance Expectations,Item3,20,Will not settle for second best.
3,Transformational,Individual Support,Item1,21,Acts without considering my feelings.
3,Transformational,Individual Support,Item2,22,Shows respect for my personal feelings.
3,Transformational,Individual Support,Item3,23,Behaves in a manner thoughtful of my personal needs
3,Transformational,Individual Support,Item4,24,Treats me without considering my personal feelings.
3,Transformational,Intellectual Stimulation,Item1,25,Challenges me to think about old problems in new ways.
3,Transformational,Intellectual Stimulation,Item2,26,Asks questions that prompt me to think.
3,Transformational,Intellectual Stimulation,Item3,27,Has stimulated me to rethink the way I do things.
3,Transformational,Intellectual Stimulation,Item4,28,Has ideas that have challenged me to reexamine some of basic assumptions about my work.
4,Transformational,Charisma/Inspirational,Item1,29,proud of him/her
4,Transformational,Charisma/Inspirational,Item2,30,goes beyond self-interest
4,Transformational,Charisma/Inspirational,Item3,31,has my respect
4,Transformational,Charisma/Inspirational,Item4,32,display power and confidence
4,Transformational,Charisma/Inspirational,Item5,33,talks of values
4,Transformational,Charisma/Inspirational,Item6,34,models ethical standards
4,Transformational,Charisma/Inspirational,Item7,35,considers the moral/ethical
4,Transformational,Charisma/Inspirational,Item8,36,"emphasizes the
collective mission"
4,Transformational,Charisma/Inspirational,Item9,37,talks optimistically
4,Transformational,Charisma/Inspirational,Item10,38,expresses confidence
4,Transformational,Charisma/Inspirational,Item11,39,talks enthusiastically
4,Transformational,Intellectual Stimulation,Item1,40,"arouses awareness
about important issues"
4,Transformational,Intellectual Stimulation,Item2,41,re-examines assumptions
4,Transformational,Intellectual Stimulation,Item3,42,seeks different views
4,Transformational,Intellectual Stimulation,Item4,43,suggests new ways
4,Transformational,Intellectual Stimulation,Item5,44,suggests different angles
4,Transformational,Individualized Consideration,Item1,45,individualizes attention
4,Transformational,Individualized Consideration,Item2,46,focuses your strengths
4,Transformational,Individualized Consideration,Item3,47,teaches and coaches
4,Transformational,Individualized Consideration,Item4,48,differentiates among us
4,Transactional,Contingent Reward,Item1,49,clarifies rewards
4,Transactional,Contingent Reward,Item2,50,assists based on effort
4,Transactional,Contingent Reward,Item3,51,rewards your achievement
4,Transactional,Contingent Reward,Item4,52,recognizes your achievement
4,Transactional,Management-by-Exception-Active,Item1,53,focuses on your mistakes
4,Transactional,Management-by-Exception-Active,Item2,54,puts out fires
4,Transactional,Management-by-Exception-Active,Item3,55,tracks your mistakes
4,Transactional,Management-by-Exception-Active,Item4,56,concentrates on failures
4,Passive/Avoidant,Passive/Avoidant,Item1,57,"reacts to problems, if serious"
4,Passive/Avoidant,Passive/Avoidant,Item2,58,reacts to failure
4,Passive/Avoidant,Passive/Avoidant,Item3,59,"if not broke, don't fix it"
4,Passive/Avoidant,Passive/Avoidant,Item4,60,"reacts to problems, if chronic"
4,Passive/Avoidant,Passive/Avoidant,Item5,61,avoids involvement
4,Passive/Avoidant,Passive/Avoidant,Item6,62,absent when needed
4,Passive/Avoidant,Passive/Avoidant,Item7,63,avoids deciding
4,Passive/Avoidant,Passive/Avoidant,Item8,64,delays responding
5,LMX,Affect,Item1,65,I like my supervisor very much as a person
5,LMX,Affect,Item2,66,My supervisor is the kind of person one would like to have as a friend.
5,LMX,Affect,Item3,67,My supervisor is a lot of fun to work with.
5,LMX,Loyalty,Item1,68,"My supervisor defends my work actions to a superior, even without complete knowledge of the issue in question."
5,LMX,Loyalty,Item2,69,"My supervisor would come to my defense if I were ""attacked"" by others."
5,LMX,Loyalty,Item3,70,My supervisor would defend me to others in the organization if I made an honest mistake.
5,LMX,Contribution,Item1,71,"
I do work for my supervisor that goes beyond what is specified in my job description."
5,LMX,Contribution,Item2,72,"I am willing to apply extra efforts, beyond those normally required, to further the interests of my work group."
5,LMX,Professional Respect,Item1,73,I am impressed with my supervisor's knowledge of his/her job.
5,LMX,Professional Respect,Item2,74,I respect my supervisor's knowledge of and competence on the job.
5,LMX,Professional Respect,Item3,75,I admire my supervisor's professional skills.
6,Servant,Emotional Healing,Item1,76,I would seek help from my manager if I had a personal problem.
6,Servant,Emotional Healing,Item2,77,My manager cares about my personal well-being.
6,Servant,Emotional Healing,Item3,78,My manager takes time to talk to me on a personal level.
6,Servant,Emotional Healing,Item4,79,My manager can recognize when I'm down without asking me.
6,Servant,Creating Value for the Community,Item1,80,My manager emphasizes the importance of giving back to the community.
6,Servant,Creating Value for the Community,Item2,81,My manager is always interested in helping people in our community.
6,Servant,Creating Value for the Community,Item3,82,My manager is involved in community activities.
6,Servant,Creating Value for the Community,Item4,83,I am encouraged by my manager to volunteer in the community.
6,Servant,Conceptual Skills,Item1,84,My manager can tell if something is going wrong.
6,Servant,Conceptual Skills,Item2,85,My manager is able to effectively think through complex problems.
6,Servant,Conceptual Skills,Item3,86,My manager has a thorough understanding of our organization and its goals.
6,Servant,Conceptual Skills,Item4,87,My manager can solve work problems with new or creative ideas.
6,Servant,Empowering,Item1,88,My manager gives me the responsibility to make important decisions about my job.
6,Servant,Empowering,Item2,89,My manager encourages me to handle important work decisions on my own.
6,Servant,Empowering,Item3,90,"My manager gives me the freedom to
handle difficult situations in the way that I
feel is best."
6,Servant,Empowering,Item4,91,"When I have to make an important
decision at work, I do not have to consult
my manager first."
6,Servant,Helping subordinates grow and succeed,Item1,92,"My manager makes my career
development a priority."
6,Servant,Helping subordinates grow and succeed,Item2,93,"My manager is interested in making sure
that I achieve my career goals."
6,Servant,Helping subordinates grow and succeed,Item3,94,"My manager provides me with work
experiences that enable me to develop
new skills."
6,Servant,Helping subordinates grow and succeed,Item4,95,"My manager wants to know about my
career goals."
6,Servant,Putting subordinates first,Item1,96,"My manager seems to care more about
my success than his/her own."
6,Servant,Putting subordinates first,Item2,97,"My manager puts my best interests ahead
of his/her own."
6,Servant,Putting subordinates first,Item3,98,"My manager sacrifices his/her own
interests to meet my needs."
6,Servant,Putting subordinates first,Item4,99,"My manager does what she/he can do to
make my job easier."
6,Servant,Behaving ethically,Item1,100,My manager holds high ethical standards.
6,Servant,Behaving ethically,Item2,101,My manager is always honest.
6,Servant,Behaving ethically,Item3,102,My manager would not compromise ethical principles in order to achieve success.
6,Servant,Behaving ethically,Item4,103,My manager values honesty more than profits.
20,Ethical,People orientation,Item1,104,Is interested in how I feel and how I am doing
20,Ethical,People orientation,Item2,105,Takes time for personal contact
20,Ethical,People orientation,Item3,106,Pays attention to my personal needs.
20,Ethical,People orientation,Item4,107,Takes time to talk about work-related emotions
20,Ethical,People orientation,Item5,108,Is genuinely concerned about my personal development
20,Ethical,People orientation,Item6,109,Sympathizes with me when I have problems
20,Ethical,People orientation,Item7,110,Cares about his/her followers.
20,Ethical,Fairness,Item1,111,Holds me accountable for problems over which I have no control.
20,Ethical,Fairness,Item2,112,Holds me responsible for work that I gave no control over.
20,Ethical,Fairness,Item3,113,Holds me responsible for things that are not my fault
20,Ethical,Fairness,Item4,114,Pursues his/her own success at the expense of others
20,Ethical,Fairness,Item5,115,Is focused mainly on reaching his/her own goals
20,Ethical,Fairness,Item6,116,Manipulates subordinates
20,Ethical,Power sharing,Item1,117,Allows subordinates to influence critical decisions
20,Ethical,Power sharing,Item2,118,Does not allow others to participate in decision making
20,Ethical,Power sharing,Item3,119,Seeks advice from subordinates concerning organizational strategy
20,Ethical,Power sharing,Item4,120,Will reconsider decisions on the basis of recommendations by those who report to him/her
20,Ethical,Power sharing,Item5,121,Delegates challenging responsibilities to subordinates
20,Ethical,Power sharing,Item6,122,Permits me to play a key role in setting my own performance goals
20,Ethical,Concern for sustainability,Item1,123,Would like to work in an environmentally friendly manner
20,Ethical,Concern for sustainability,Item2,124,Shows concern for sustainability issues
20,Ethical,Concern for sustainability,Item3,125,Stimulates recycling of items and materials in our department
20,Ethical,Ethical guidance,Item1,126,Clearly explains integrity related codes of conduct
20,Ethical,Ethical guidance,Item2,127,Explains what is expected from employees in terms of behaving with integrity.
20,Ethical,Ethical guidance,Item3,128,Clarifies integrity guidelines.
20,Ethical,Ethical guidance,Item4,129,Ensures that employees follow codes of integrity
20,Ethical,Ethical guidance,Item5,130,Clarifies the likely consequences of possible unethical behavior by myself and my colleagues
20,Ethical,Ethical guidance,Item6,131,Stimulates the discussion of integrity issues among employees
