MeasureID,Behavior,Dimensions,Item,Xnum,Text,StandardConstruct
3,Transformational,Articulates Vision,Item1,6,Has a clear understanding of where we are going,Transformational
3,Transformational,Articulates Vision,Item2,7,Paints an interesting picture of the future for our group.,Transformational
3,Transformational,Articulates Vision,Item3,8,Is always seeking new opportunities for the organization.,Transformational
3,Transformational,Articulates Vision,Item4,9,Inspires others with his/her plans for the future.,Transformational
3,Transformational,Articulates Vision,Item5,10,Is able to get others committed to his/her dream.,Transformational
3,Transformational,Provide appropriate model,Item1,11,"Leads by ""doing,"" rather than simply by ""telling.",Transformational
3,Transformational,Provide appropriate model,Item2,12,Provides a good model for me to follow.,Transformational
3,Transformational,Provide appropriate model,Item3,13,Leads by example.,Transformational
3,Transformational,Fostering acceptance of group goals,Item1,14,Fosters collaboration among work groups.,Transformational
3,Transformational,Fostering acceptance of group goals,Item2,15,"Encourages employees to be ""team players.",Transformational
3,Transformational,Fostering acceptance of group goals,Item3,16,Gets the group to work together for the same goal.,Transformational
3,Transformational,Fostering acceptance of group goals,Item4,17,Develops a team attitude and spirit among employees.,Transformational
3,Transformational,High Performance Expectations,Item1,18,Shows us that he/she expects a lot from us.,Transformational
3,Transformational,High Performance Expectations,Item2,19,Insists on only the best performance.,Transformational
3,Transformational,High Performance Expectations,Item3,20,Will not settle for second best.,Transformational
3,Transformational,Individual Support,Item1,21,Acts without considering my feelings.,Transformational
3,Transformational,Individual Support,Item2,22,Shows respect for my personal feelings.,Transformational
3,Transformational,Individual Support,Item3,23,Behaves in a manner thoughtful of my personal needs,Transformational
3,Transformational,Individual Support,Item4,24,Treats me without considering my personal feelings.,Transformational
3,Transformational,Intellectual Stimulation,Item1,25,Challenges me to think about old problems in new ways.,Transformational
3,Transformational,Intellectual Stimulation,Item2,26,Asks questions that prompt me to think.,Transformational
3,Transformational,Intellectual Stimulation,Item3,27,Has stimulated me to rethink the way I do things.,Transformational
3,Transformational,Intellectual Stimulation,Item4,28,Has ideas that have challenged me to reexamine some of basic assumptions about my work.,Transformational
4,Transformational,Charisma/Inspirational,Item1,29,proud of him/her,Transformational
4,Transformational,Charisma/Inspirational,Item2,30,goes beyond self-interest,Transformational
4,Transformational,Charisma/Inspirational,Item3,31,has my respect,Transformational
4,Transformational,Charisma/Inspirational,Item4,32,display power and confidence,Transformational
4,Transformational,Charisma/Inspirational,Item5,33,talks of values,Transformational
4,Transformational,Charisma/Inspirational,Item6,34,models ethical standards,Transformational
4,Transformational,Charisma/Inspirational,Item7,35,considers the moral/ethical,Transformational
4,Transformational,Charisma/Inspirational,Item8,36,"emphasizes the
collective mission",Transformational
4,Transformational,Charisma/Inspirational,Item9,37,talks optimistically,Transformational
4,Transformational,Charisma/Inspirational,Item10,38,expresses confidence,Transformational
4,Transformational,Charisma/Inspirational,Item11,39,talks enthusiastically,Transformational
4,Transformational,Intellectual Stimulation,Item1,40,"arouses awareness
about important issues",Transformational
4,Transformational,Intellectual Stimulation,Item2,41,re-examines assumptions,Transformational
4,Transformational,Intellectual Stimulation,Item3,42,seeks different views,Transformational
4,Transformational,Intellectual Stimulation,Item4,43,suggests new ways,Transformational
4,Transformational,Intellectual Stimulation,Item5,44,suggests different angles,Transformational
4,Transformational,Individualized Consideration,Item1,45,individualizes attention,Transformational
4,Transformational,Individualized Consideration,Item2,46,focuses your strengths,Transformational
4,Transformational,Individualized Consideration,Item3,47,teaches and coaches,Transformational
4,Transformational,Individualized Consideration,Item4,48,differentiates among us,Transformational
6,Servant,Emotional Healing,Item1,76,I would seek help from my manager if I had a personal problem.,Servant
6,Servant,Emotional Healing,Item2,77,My manager cares about my personal well-being.,Servant
6,Servant,Emotional Healing,Item3,78,My manager takes time to talk to me on a personal level.,Servant
6,Servant,Emotional Healing,Item4,79,My manager can recognize when I'm down without asking me.,Servant
6,Servant,Creating Value for the Community,Item1,80,My manager emphasizes the importance of giving back to the community.,Servant
6,Servant,Creating Value for the Community,Item2,81,My manager is always interested in helping people in our community.,Servant
6,Servant,Creating Value for the Community,Item3,82,My manager is involved in community activities.,Servant
6,Servant,Creating Value for the Community,Item4,83,I am encouraged by my manager to volunteer in the community.,Servant
6,Servant,Conceptual Skills,Item1,84,My manager can tell if something is going wrong.,Servant
6,Servant,Conceptual Skills,Item2,85,My manager is able to effectively think through complex problems.,Servant
6,Servant,Conceptual Skills,Item3,86,My manager has a thorough understanding of our organization and its goals.,Servant
6,Servant,Conceptual Skills,Item4,87,My manager can solve work problems with new or creative ideas.,Servant
