MeasureID,Behavior,Dimensions,Item,Xnum,Text,StandardConstruct,ProcessedText
3,Transformational,Articulates Vision,Item1,6,Has a clear understanding of where we are going,Transformational,Has a clear understanding of where we are going
3,Transformational,Articulates Vision,Item2,7,Paints an interesting picture of the future for our group.,Transformational,Paints an interesting picture of the future for our group.
3,Transformational,Articulates Vision,Item3,8,Is always seeking new opportunities for the organization.,Transformational,Is always seeking new opportunities for the organization.
3,Transformational,Articulates Vision,Item4,9,Inspires others with his/her plans for the future.,Transformational,Inspires others with his/her plans for the future.
3,Transformational,Articulates Vision,Item5,10,Is able to get others committed to his/her dream.,Transformational,Is able to get others committed to his/her dream.
3,Transformational,Provide appropriate model,Item1,11,"Leads by ""doing,"" rather than simply by ""telling.",Transformational,"Leads by ""doing,"" rather than simply by ""telling."
3,Transformational,Provide appropriate model,Item2,12,Provides a good model for me to follow.,Transformational,Provides a good model for me to follow.
3,Transformational,Provide appropriate model,Item3,13,Leads by example.,Transformational,Leads by example.
3,Transformational,Fostering acceptance of group goals,Item1,14,Fosters collaboration among work groups.,Transformational,Fosters collaboration among work groups.
3,Transformational,Fostering acceptance of group goals,Item2,15,"Encourages employees to be ""team players.",Transformational,"Encourages employees to be ""team players."
3,Transformational,Fostering acceptance of group goals,Item3,16,Gets the group to work together for the same goal.,Transformational,Gets the group to work together for the same goal.
3,Transformational,Fostering acceptance of group goals,Item4,17,Develops a team attitude and spirit among employees.,Transformational,Develops a team attitude and spirit among employees.
3,Transformational,High Performance Expectations,Item1,18,Shows us that he/she expects a lot from us.,Transformational,Shows us that he/she expects a lot from us.
3,Transformational,High Performance Expectations,Item2,19,Insists on only the best performance.,Transformational,Insists on only the best performance.
3,Transformational,High Performance Expectations,Item3,20,Will not settle for second best.,Transformational,Will not settle for second best.
3,Transformational,Individual Support,Item1,21,Acts without considering my feelings.,Transformational,Acts without considering my feelings.
3,Transformational,Individual Support,Item2,22,Shows respect for my personal feelings.,Transformational,Shows respect for my personal feelings.
3,Transformational,Individual Support,Item3,23,Behaves in a manner thoughtful of my personal needs,Transformational,Behaves in a manner thoughtful of my personal needs
3,Transformational,Individual Support,Item4,24,Treats me without considering my personal feelings.,Transformational,Treats me without considering my personal feelings.
3,Transformational,Intellectual Stimulation,Item1,25,Challenges me to think about old problems in new ways.,Transformational,Challenges me to think about old problems in new ways.
3,Transformational,Intellectual Stimulation,Item2,26,Asks questions that prompt me to think.,Transformational,Asks questions that prompt me to think.
3,Transformational,Intellectual Stimulation,Item3,27,Has stimulated me to rethink the way I do things.,Transformational,Has stimulated me to rethink the way I do things.
3,Transformational,Intellectual Stimulation,Item4,28,Has ideas that have challenged me to reexamine some of basic assumptions about my work.,Transformational,Has ideas that have challenged me to reexamine some of basic assumptions about my work.
4,Transformational,Charisma/Inspirational,Item1,29,proud of him/her,Transformational,proud of him/her
4,Transformational,Charisma/Inspirational,Item2,30,goes beyond self-interest,Transformational,goes beyond self-interest
4,Transformational,Charisma/Inspirational,Item3,31,has my respect,Transformational,has my respect
4,Transformational,Charisma/Inspirational,Item4,32,display power and confidence,Transformational,display power and confidence
4,Transformational,Charisma/Inspirational,Item5,33,talks of values,Transformational,talks of values
4,Transformational,Charisma/Inspirational,Item6,34,models ethical standards,Transformational,models ethical standards
4,Transformational,Charisma/Inspirational,Item7,35,considers the moral/ethical,Transformational,considers the moral/ethical
4,Transformational,Charisma/Inspirational,Item8,36,"emphasizes the
collective mission",Transformational,"emphasizes the
collective mission"
