true_construct,predicted_ipip,confidence
Transformational,Intellectual Openness,0.7984008
Transformational,Intellectual Openness,0.8326188
Transformational,Variety-seeking,0.7848148
Transformational,Leadership,0.8581867
Transformational,Hypomanic Exhibitionism,0.8396545
Transformational,Assertiveness,0.80178416
Transformational,Complexity,0.82953477
Transformational,Leadership,0.83565116
Transformational,Teamwork/Citizenship,0.82736707
Transformational,Teamwork/Citizenship,0.8087789
Transformational,Teamwork/Citizenship,0.8485313
Transformational,Leadership,0.8098438
Transformational,Responsibility,0.8197177
Transformational,Perfectionism,0.7929021
Transformational,Hope/Optimism,0.7385837
Transformational,Attention to Emotions,0.85333234
Transformational,Positive Expressivity,0.88065565
Transformational,Modesty/Humility,0.80959654
Transformational,Capacity for Love,0.8608407
Transformational,Depth,0.80593103
Transformational,Depth,0.82582986
Transformational,Imagination,0.8583103
Transformational,Intellect,0.7949409
Transformational,Positive Expressivity,0.7857513
Transformational,Introspection/Private Self-Consciousness,0.8121365
Transformational,Pleasantness,0.7908576
Transformational,Modesty/Humility,0.76723653
Transformational,Complexity,0.8011603
Transformational,Conservatism,0.7479942
Transformational,Conservatism,0.7994997
Transformational,Teamwork/Citizenship,0.8038755
Transformational,Expressiveness,0.78126836
Transformational,Modesty/Humility,0.8000271
Transformational,Talkativeness,0.8013257
Transformational,Depth,0.7819846
Transformational,Complexity,0.70932645
Transformational,Complexity,0.82276714
Transformational,Variety-seeking,0.82429016
Transformational,Complexity,0.7570668
Transformational,Machiavellianism,0.78937507
Transformational,Self-esteem,0.7562833
Transformational,Interest in Self-Improvement,0.7772241
Transformational,Social/Personal/Emotional Intelligence,0.76953286
Servant,Flexibility,0.7887211
Servant,Capacity for Love,0.8539991
Servant,Extraversion,0.8380732
Servant,Hypomanic Mood Intensity,0.7776805
Servant,Responsibility,0.81582546
Servant,Warmth,0.85090196
Servant,Construction/Mechanical Interests,0.7994005
Servant,Kindness/Generosity,0.8184423
Servant,Anxiety,0.8113027
Servant,Need for Cognition,0.8901004
Servant,Need for Cognition,0.78929615
Servant,Creativity/Originality,0.8644905
Servant,Judgment/Open-mindedness,0.87423646
Servant,Achievement-striving,0.8581367
Servant,"Locus of Control,Internal",0.8347612
Servant,Judgment/Open-mindedness,0.7970787
Servant,Curiosity,0.85100234
Servant,Hope/Optimism,0.8035709
Servant,Creativity/Originality,0.8443784
Servant,Self-esteem,0.7925425
Servant,Self-esteem,0.81897295
Servant,Leadership,0.8452485
Servant,Sympathy,0.86268926
Servant,Dominance,0.79835683
Servant,Conservatism,0.85684276
Servant,Self-deception,0.874146
Servant,Conservatism,0.84212536
Servant,Manipulativeness,0.834973
Ethical,Curiosity,0.80060613
Ethical,Friendliness,0.7702543
Ethical,Femininity,0.8644301
Ethical,Attention to Emotions,0.82387877
Ethical,Hope/Optimism,0.77378225
Ethical,Empathy,0.82873607
Ethical,Trust,0.8239416
Ethical,Self-esteem,0.82722604
Ethical,Self-esteem,0.8227368
Ethical,Equity/Fairness,0.7953385
Ethical,Altruism,0.8247383
Ethical,Achievement-striving,0.7555424
Ethical,Dominance,0.7652784
Ethical,Dominance,0.7403429
Ethical,Leadership,0.8397581
Ethical,Leadership,0.6899467
Ethical,Judgment/Open-mindedness,0.7524911
Ethical,Dominance,0.72980887
Ethical,Self-esteem,0.83414197
Ethical,Construction/Mechanical Interests,0.74304956
Ethical,Altruism,0.71448433
Ethical,Interest in Environmentalism,0.7437568
Ethical,Rationality,0.77575976
Ethical,Responsibility,0.8017868
Ethical,Dutifulness,0.8201795
Ethical,Responsibility,0.75905097
Ethical,Manipulativeness,0.7734434
Ethical,Responsibility,0.7671725
Ethical,Responsibility,0.76174057
Ethical,Teamwork/Citizenship,0.69221634
Ethical,Teamwork/Citizenship,0.6501226
Ethical,Perfectionism,0.77732474
Ethical,Judgment/Open-mindedness,0.8417184
Ethical,Altruism,0.7066297
Ethical,Responsibility,0.8139855
Ethical,Trust,0.84724677
Ethical,Equity/Fairness,0.82818884
Ethical,Submissiveness,0.7874733
Ethical,Trust,0.82403016
Ethical,Unconventionality,0.66593033
Ethical,Honesty/Integrity/Authenticity,0.8164096
Ethical,Trust,0.7724952
Ethical,Adaptability,0.7126442
Ethical,Warmth,0.81498295
Ethical,Altruism,0.7159311
Ethical,Teamwork/Citizenship,0.67053986
Ethical,Leadership,0.71750695
Ethical,Teamwork/Citizenship,0.75751686
Ethical,Judgment/Open-mindedness,0.8417184
Ethical,Dominance,0.7303267
Ethical,Judgment/Open-mindedness,0.7524911
Ethical,Dominance,0.72980887
Ethical,Leadership,0.8397581
Ethical,Leadership,0.6826315
Ethical,Dominance,0.7530101
Ethical,Altruism,0.79555345
Ethical,Self-esteem,0.7372868
Ethical,Dominance,0.80108887
Ethical,Altruism,0.7047087
Ethical,Equity/Fairness,0.82766235
Ethical,Honesty/Integrity/Authenticity,0.8272985
Ethical,Responsibility,0.68737775
Ethical,Conservatism,0.7690469
Ethical,Altruism,0.78815156
Ethical,Judgment/Open-mindedness,0.79668754
Servant,Leadership,0.8056363
Servant,Leadership,0.7870938
Servant,Capacity for Love,0.8505249
Servant,Judgment/Open-mindedness,0.81573343
Servant,Creativity/Originality,0.7999157
Servant,Altruism,0.7594797
Empowering,Judgment/Open-mindedness,0.80439615
Empowering,Dominance,0.805964
Empowering,Dominance,0.7400087
Empowering,Docility,0.79161286
Empowering,Self-esteem,0.777005
Empowering,Responsibility,0.7292039
Empowering,Self-efficacy,0.80684716
Empowering,Judgment/Open-mindedness,0.82243365
Empowering,Creativity/Originality,0.7897506
Empowering,Organization,0.7468526
Empowering,Altruism,0.76033634
Empowering,Need for Cognition,0.73832476
Empowering,Creativity/Originality,0.8130324
Empowering,Organization,0.71741295
Empowering,"Locus of Control,Internal",0.8031249
Empowering,Creativity/Originality,0.7987721
Empowering,Prudence,0.77987
Charismatic,Self-monitoring,0.779668
Charismatic,Machiavellianism,0.81426847
Charismatic,Hypomanic Exhibitionism,0.7756264
Charismatic,Complexity,0.8362665
Charismatic,Hypomanic Exhibitionism,0.7603082
Charismatic,Creativity/Originality,0.76906824
Charismatic,Teamwork/Citizenship,0.69730324
Charismatic,Need for Cognition,0.67608994
Charismatic,Leadership,0.754049
Charismatic,Machiavellianism,0.7430523
Charismatic,Leadership,0.747239
Charismatic,Construction/Mechanical Interests,0.73375684
Charismatic,Achievement-striving,0.7910563
Charismatic,Hypomanic Exhibitionism,0.78552437
Charismatic,Leadership,0.7008919
Charismatic,Hypomanic Exhibitionism,0.7951527
Charismatic,Risk-taking/Sensation-Seeking/Thrill-Seeking,0.7898323
Charismatic,Achievement-striving,0.80285364
Charismatic,Leadership,0.8008285
Charismatic,Leadership,0.7723971
Charismatic,Understanding,0.81637484
Charismatic,Machiavellianism,0.80451804
Charismatic,Understanding,0.8118262
Charismatic,Achievement-striving,0.8117506
Charismatic,Achievement-striving,0.75576586
Authentic,Complexity,0.78255993
Authentic,Hypomanic Exhibitionism,0.80785847
Authentic,Social/Personal/Emotional Intelligence,0.824709
Authentic,Pleasantness,0.7793239
Authentic,Friendliness,0.83882076
Authentic,Openness To Experience,0.80814713
Authentic,Conservatism,0.81785923
Authentic,Conservatism,0.8206816
Authentic,Traditionalism,0.81916374
Authentic,Conservatism,0.8295273
Authentic,Openness To Experience,0.83175594
Authentic,Intellectual-Complexity,0.8390974
Authentic,Need for Cognition,0.70509714
Authentic,Leadership,0.8402733
Servant,Responsibility,0.7839876
Servant,Altruism,0.79642713
Servant,Leadership,0.7403242
Servant,Leadership,0.7810067
Servant,Dominance,0.7514313
Servant,Altruism,0.80029094
