leadership_construct,text,predicted_ipip,confidence
Transformational,Has a clear understanding of where we are going,Imagination,0.0425
Transformational,Paints an interesting picture of the future for our group.,Interest in Social Media,0.05
Transformational,Is always seeking new opportunities for the organization.,Creativity/Originality,0.33850216450216436
Transformational,Inspires others with their plans for the future.,Achievement-striving,0.11283333333333333
Transformational,Is able to get others committed to their dream.,Responsibility,0.4471666666666666
Transformational,"Leads by ""doing,"" rather than simply by ""telling.",Gregariousness,0.64
Transformational,Provides a good model for me to follow.,Conformity/Dependence/Need for approval,0.09399999999999999
Transformational,Leads by example.,Dutifulness,0.02144213241650709
Transformational,Fosters collaboration among work groups.,Perfectionism,0.16753261457324917
Transformational,"Encourages employees to be ""team players.",Dutifulness,0.02144213241650709
Transformational,Gets the group to work together for the same goal.,Teamwork/Citizenship,0.1706666666666667
Transformational,Develops a team attitude and spirit among employees.,Dutifulness,0.02144213241650709
Transformational,Shows us that they expects a lot from us.,Expressiveness,0.12
Transformational,Insists on only the best performance.,Achievement-striving,0.06333333333333334
Transformational,Will not settle for second best.,Achievement-striving,0.06333333333333334
Transformational,Acts without considering my feelings.,Gregariousness,0.20482539682539677
Transformational,Shows respect for my personal feelings.,Understanding,0.66
Transformational,Behaves in a manner thoughtful of my personal needs,Responsibility,0.32590476190476186
Transformational,Treats me without considering my personal feelings.,Gregariousness,0.20482539682539677
Transformational,Challenges me to think about old problems in new ways.,Creativity/Originality,0.21218795093795095
Transformational,Asks questions that prompt me to think.,Self-confidence,0.47947619047619056
Transformational,Has stimulated me to rethink the way I do things.,Rigidity,0.09
Transformational,Has ideas that have challenged me to reexamine some of basic assumptions about my work.,Industriousness/Perseverance/Persistence,0.09180891330891332
Transformational,proud of them,Dutifulness,0.02144213241650709
Transformational,goes beyond self-interest,Dutifulness,0.02144213241650709
Transformational,has my respect,Pleasantness,0.4286666666666667
Transformational,display power and confidence,Irrational Beliefs,0.4321666666666667
Transformational,talks of values,Dutifulness,0.02144213241650709
Transformational,models ethical standards,Dutifulness,0.02144213241650709
Transformational,considers the moral/ethical,Dutifulness,0.02144213241650709
Transformational,emphasizes the collective mission,Dutifulness,0.02144213241650709
Transformational,talks optimistically,Dutifulness,0.02144213241650709
Transformational,expresses confidence,Dutifulness,0.02144213241650709
Transformational,talks enthusiastically,Dutifulness,0.02144213241650709
Transformational,arouses awareness about important issues,Dissociation,0.2775
Transformational,re-examines assumptions,Dutifulness,0.02144213241650709
Transformational,seeks different views,Curiosity,0.6
Transformational,suggests new ways,Creativity/Originality,0.19708874458874454
Transformational,suggests different angles,Curiosity,0.6
Transformational,individualizes attention,Physical Attractiveness,0.12
Transformational,focuses your strengths,Dutifulness,0.02144213241650709
Transformational,teaches and coaches,Dutifulness,0.02144213241650709
Transformational,differentiates among us,Dutifulness,0.02144213241650709
Servant,I would seek help from my manager if I had a personal problem.,Leadership,0.0315
Servant,Cares about my personal well-being.,Dutifulness,0.02144213241650709
Servant,Takes time to talk to me on a personal level.,Self-disclosure,0.053388888888888895
Servant,Can recognize when I'm down without asking me.,Dutifulness,0.02144213241650709
Servant,Emphasizes the importance of giving back to the community.,Construction/Mechanical Interests,0.030366972477064217
Servant,Is always interested in helping people in our community.,Warmth,0.22042857142857136
Servant,Is involved in community activities.,Dutifulness,0.02144213241650709
Servant,I am encouraged by my manager to volunteer in the community.,Dutifulness,0.02144213241650709
Servant,Can tell if something is going wrong.,Sociability,0.04570765027322404
Servant,Is able to effectively think through complex problems.,Dissociation,0.07200000000000001
Servant,Has a thorough understanding of our organization and its goals.,Gregariousness,0.044000000000000004
Servant,Can solve work problems with new or creative ideas.,Creativity/Originality,0.07101190476190475
Servant,Gives me the responsibility to make important decisions about my job.,Judgment/Open-mindedness,0.15
Servant,Encourages me to handle important work decisions on my own.,Leadership,0.0525
Servant,Gives me the freedom to handle difficult situations in the way that I feel is best.,Humor/Playfulness,0.06
Servant,"When I have to make an important decision at work, I do not have to consult my manager first.",Industriousness/Perseverance/Persistence,0.1251948051948052
Servant,Makes my career development a priority.,Dutifulness,0.02144213241650709
Servant,Is interested in making sure that I achieve my career goals.,Warmth,0.07775
Servant,Provides me with work experiences that enable me to develop new skills.,Creativity/Originality,0.18398556998556997
Servant,Wants to know about my career goals.,Unlikely Virtues,0.18347707126035295
Servant,Seems to care more about my success than their own.,Callousness,0.14166666666666666
Servant,Puts my best interests ahead of their own.,Rebelliousness,0.09916666666666668
Servant,Sacrifices their own interests to meet my needs.,Responsibility,0.32590476190476186
Servant,Does what she/he can do to make my job easier.,Agreeableness,0.14685048285048277
Servant,Holds high ethical standards.,Achievement-striving,0.44883333333333325
Servant,Is always honest.,Dutifulness,0.02144213241650709
Servant,Would not compromise ethical principles in order to achieve success.,Organization,0.07301587301587299
Servant,Values honesty more than profits.,Dutifulness,0.02144213241650709
Ethical,Is interested in how I feel and how I am doing,Dissociation,0.05
Ethical,Takes time for personal contact,Anxiety,0.1429959623709623
Ethical,Pays attention to my personal needs.,Physical Attractiveness,0.09
Ethical,Takes time to talk about work-related emotions,Industriousness/Perseverance/Persistence,0.08410714285714287
Ethical,Is genuinely concerned about my personal development,Sympathy,0.36163095238095233
Ethical,Sympathizes with me when I have problems,Resourcefulness,0.585356829161177
Ethical,Cares about their followers.,Dutifulness,0.02144213241650709
Ethical,Holds me accountable for problems over which I have no control.,Dissociation,0.09
Ethical,Holds me responsible for work that I gave no control over.,Industriousness/Perseverance/Persistence,0.06995238095238095
Ethical,Holds me responsible for things that are not my fault,Belligerence,0.09373908453052174
Ethical,Pursues their own success at the expense of others,Hypomanic Exhibitionism,0.64
Ethical,Is focused mainly on reaching their own goals,Dutifulness,0.02144213241650709
Ethical,Manipulates subordinates,Dutifulness,0.02144213241650709
Ethical,Allows subordinates to influence critical decisions,Self-discipline,0.45483333333333326
Ethical,Does not allow others to participate in decision making,Extraversion,0.04959523809523809
Ethical,Seeks advice from subordinates concerning organizational strategy,Dutifulness,0.02144213241650709
Ethical,Will reconsider decisions on the basis of recommendations by those who report to them,Self-discipline,0.45483333333333326
Ethical,Delegates challenging responsibilities to subordinates,Liveliness,0.05750000000000001
Ethical,Permits me to play a key role in setting my own performance goals,Cooperation,0.6873018867924529
Ethical,Would like to work in an environmentally friendly manner,Industriousness/Perseverance/Persistence,0.12282190032190032
Ethical,Shows concern for sustainability issues,Dutifulness,0.02144213241650709
Ethical,Stimulates recycling of items and materials in our department,Dutifulness,0.02144213241650709
Ethical,Clearly explains integrity related codes of conduct,Dutifulness,0.02144213241650709
Ethical,Explains what is expected from employees in terms of behaving with integrity.,Dutifulness,0.02144213241650709
Ethical,Clarifies integrity guidelines.,Dutifulness,0.02144213241650709
Ethical,Ensures that employees follow codes of integrity,Conformity/Dependence/Need for approval,0.5219126984126984
Ethical,Clarifies the likely consequences of possible unethical behavior by myself and my colleagues,Dutifulness,0.02144213241650709
Ethical,Stimulates the discussion of integrity issues among employees,Dutifulness,0.02144213241650709
Ethical,Compliments employees who behave according to the integrity guidelines,Conservatism,0.052000000000000005
Ethical,Indicates what the performance expectations of each group member are,Interest in Social Media,0.61
Ethical,Explains what is expected of each group member,Interest in Social Media,0.61
Ethical,Explains what is expected of me and my colleagues,Dutifulness,0.02144213241650709
Ethical,Clarifies priorities,Dutifulness,0.02144213241650709
Ethical,Clarifies who is responsible for what,Dutifulness,0.02144213241650709
Ethical,Keeps their promises,Dutifulness,0.02144213241650709
Ethical,Can be trusted to do the things they says,Belligerence,0.09373908453052174
Ethical,Can be relied on to honor their commitments,Dutifulness,0.02144213241650709
Ethical,Always keeps their words,Extraversion,0.42983333333333335
Ethical,Makes sure that their actions are always ethical,Self-confidence,0.04833333333333333
Ethical,"Means what they says, is earnest",Dutifulness,0.02144213241650709
Ethical,"Deserves trust, can be believed and relied upon to keep their word",Love of Learning,0.08
Ethical,Can be trusted to serve the interests of their subordinates rather than him/herself,Dutifulness,0.02144213241650709
Ethical,Does not criticize subordinates without good reason,Kindness/Generosity,0.1793704906204905
Ethical,Pursues own best interest at the expense of others,Achievement-striving,0.06333333333333334
Ethical,Explains who is responsible for what,Dutifulness,0.02144213241650709
Ethical,Explains what is expected of each member of the group,Interest in Social Media,0.61
Ethical,Explains each individual group members' scope of authority,Teamwork/Citizenship,0.098
Ethical,Communicates their performance expectations for group members,Interest in Social Media,0.61
Ethical,Clarifies priorities,Dutifulness,0.02144213241650709
Ethical,Allows subordinates to have influence on critical decisions,Self-discipline,0.45483333333333326
Ethical,Will reconsider decisions on the basis of recommendations by those who report to them,Self-discipline,0.45483333333333326
Ethical,Delegates challenging responsibilities to subordinates,Liveliness,0.05750000000000001
Ethical,Does not allow others to participate in decision making,Extraversion,0.04959523809523809
Ethical,Seeks advice concerning organizational strategy from subordinates,Dutifulness,0.02144213241650709
Ethical,Allows subordinates to take a strong hand in setting their performance goals,Assertiveness,0.33758333333333324
Ethical,Conducts their personal life in an ethical manner,Achievement-striving,0.21565079365079362
Ethical,Defines success not just by results but also the way that they are obtained,Conscientiousness,0.04866666666666667
Ethical,Listens to what employees have to say,Self-control/Self-regulation,0.44749999999999995
Ethical,Disciplines employees who violate ethical standards,Dutifulness,0.02144213241650709
Ethical,Makes fair and balanced decisions,Self-discipline,0.45483333333333326
Ethical,Can be trusted,Dutifulness,0.02144213241650709
Ethical,Discusses business ethics or values with employees,Dutifulness,0.02144213241650709
Ethical,Sets an example of how to do things the right way in terms of ethics,Cool-headedness,0.05
Ethical,Has the best interests of employees in mind,Industriousness/Perseverance/Persistence,0.09
Ethical,"When making decisions, asks “what is the right thing to do?”",Teamwork/Citizenship,0.06
Servant,"Uses power in service to others, not for their or their ambition",Irrational Beliefs,0.4321666666666667
Servant,Gives me the right to question their or their actions and decisions,Perfectionism,0.054000000000000006
Servant,"Respects me for who I am, not how much I make them or their feel",Empathy,0.18145238095238095
Servant,Enhances my capacity for moral actions,Morality,0.10746451320792166
Servant,Lps me to generate a sense of meaning out of everyday life at work,Industriousness/Perseverance/Persistence,0.08974252821414394
Servant,Contributes to my personal and professional growth,Dutifulness,0.02144213241650709
Empowering,Gives me the authority I need to make decisions that improve work processes and procedures,Leadership,0.08899999999999998
Empowering,Gives me the authority to make changes necessary to improve things,Leadership,0.074
Empowering,Delegates authority to me that is equal to the level of responsibility that I am assigned,Unconventionality,0.1
Empowering,Holds me accountable for the work I am assigned,Perfectionism,0.16753261457324917
Empowering,I am held accountable for performance and results,Dutifulness,0.02144213241650709
Empowering,Holds people in the department accountable for customer satisfaction,Forgiveness/Mercy,0.09480863982174594
Empowering,"Tries to help me arrive at my own solutions when problems arise, rather than telling me what they would do.",Conformity/Dependence/Need for approval,0.035
Empowering,Relies on me to make my own decisions about issues that affect how work gets done,Judgment/Open-mindedness,0.12
Empowering,Encourages me to develop my own solutions to problems I encounter in my work,Resourcefulness,0.05333333333333333
Empowering,Shares information that I need to ensure high quality results.,Achievement-striving,0.04516666666666667
Empowering,Provides me with the information I need to meet customers’ needs,Risk-taking/Sensation-Seeking/Thrill-Seeking,0.035946428571428574
Empowering,"Encourages me to use systematic problem-solving methods (e.g., the seven-step problem-solving model)",Humor/Playfulness,0.55
Empowering,Provides me with frequent opportunities to develop new skills,Insight,0.26
Empowering,Ensures that continuous learning and skill development are priorities in our department,Dutifulness,0.02144213241650709
Empowering,"Is willing to risk mistakes on my part if, over the long term, I will learn and develop as a result of the experience.",Dissociation,0.16
Empowering,I am encouraged to try out new ideas even if there is a chance they may not succeed,Variety-seeking,0.08883333333333333
Empowering,Focuses on corrective action rather than placing blame when I make a mistake,Agreeableness,0.14685048285048277
Charismatic,Exciting public speaker,Dutifulness,0.02144213241650709
Charismatic,Appears to be a skillful performer when presenting to a group,Interest in Social Media,0.61
Charismatic,"Inspirational, able to motivate by articulating effectively the importance of what organizational members are doing",Dissociation,0.09666666666666668
Charismatic,"Has vision, often brings up ideas about possibilities for the future",Intellect,0.0626388888888889
Charismatic,Provides inspiring strategic and organizational goals,Dutifulness,0.02144213241650709
Charismatic,Consistently generates new ideas for the future of the organization,Culture,0.1925
Charismatic,"Readily recognizes constraints in the organization's social and cultural environment (cultural norms, lack of grass roots support, etc) that may stand in the way of achieving organizational objectives",Modesty/Humility,0.041060606060606054
Charismatic,"Readily recognizes constraints in the physical environment (technological limitations, lack of resources, etc) that may stand in the way of achieving organizational objectives",Hostile Aggression,0.07
Charismatic,Readily recognizes barriers/forces within the organization that may block or hinder achievement of their goals,Dutifulness,0.02144213241650709
Charismatic,Recognizes the abilities and skills of other members in the organization,Dutifulness,0.02144213241650709
