MeasureID,Behavior,Dimensions,Item,Xnum,Text,ProcessedText
2,Transactional,Contingent Reward,Item1,1.0,Always gives me positive feedback when I perform well,Always gives me positive feedback when I perform well
2,Transactional,Contingent Reward,Item2,2.0,Gives me special recognition when my work is very good,Gives me special recognition when my work is very good
2,Transactional,Contingent Reward,Item3,3.0,Commends me when I do a better than average job,Commends me when I do a better than average job
2,Transactional,Contingent Reward,Item4,4.0,Personally compliments me when I do outstanding work,Personally compliments me when I do outstanding work
2,Transactional,Contingent Reward,Item5,5.0,Frequently does not acknowledge my good performance,Frequently does not acknowledge my good performance
3,Transformational,Articulates Vision,Item1,6.0,Has a clear understanding of where we are going,Has a clear understanding of where we are going
3,Transformational,Articulates Vision,Item2,7.0,Paints an interesting picture of the future for our group.,Paints an interesting picture of the future for our group.
3,Transformational,Articulates Vision,Item3,8.0,Is always seeking new opportunities for the organization.,Is always seeking new opportunities for the organization.
3,Transformational,Articulates Vision,Item4,9.0,Inspires others with his/her plans for the future.,Inspires others with his/her plans for the future.
3,Transformational,Articulates Vision,Item5,10.0,Is able to get others committed to his/her dream.,Is able to get others committed to his/her dream.
3,Transformational,Provide appropriate model,Item1,11.0,"Leads by ""doing,"" rather than simply by ""telling.","Leads by ""doing,"" rather than simply by ""telling."
3,Transformational,Provide appropriate model,Item2,12.0,Provides a good model for me to follow.,Provides a good model for me to follow.
3,Transformational,Provide appropriate model,Item3,13.0,Leads by example.,Leads by example.
3,Transformational,Fostering acceptance of group goals,Item1,14.0,Fosters collaboration among work groups.,Fosters collaboration among work groups.
3,Transformational,Fostering acceptance of group goals,Item2,15.0,"Encourages employees to be ""team players.","Encourages employees to be ""team players."
3,Transformational,Fostering acceptance of group goals,Item3,16.0,Gets the group to work together for the same goal.,Gets the group to work together for the same goal.
3,Transformational,Fostering acceptance of group goals,Item4,17.0,Develops a team attitude and spirit among employees.,Develops a team attitude and spirit among employees.
3,Transformational,High Performance Expectations,Item1,18.0,Shows us that he/she expects a lot from us.,Shows us that he/she expects a lot from us.
3,Transformational,High Performance Expectations,Item2,19.0,Insists on only the best performance.,Insists on only the best performance.
3,Transformational,High Performance Expectations,Item3,20.0,Will not settle for second best.,Will not settle for second best.
3,Transformational,Individual Support,Item1,21.0,Acts without considering my feelings.,Acts without considering my feelings.
3,Transformational,Individual Support,Item2,22.0,Shows respect for my personal feelings.,Shows respect for my personal feelings.
3,Transformational,Individual Support,Item3,23.0,Behaves in a manner thoughtful of my personal needs,Behaves in a manner thoughtful of my personal needs
3,Transformational,Individual Support,Item4,24.0,Treats me without considering my personal feelings.,Treats me without considering my personal feelings.
3,Transformational,Intellectual Stimulation,Item1,25.0,Challenges me to think about old problems in new ways.,Challenges me to think about old problems in new ways.
3,Transformational,Intellectual Stimulation,Item2,26.0,Asks questions that prompt me to think.,Asks questions that prompt me to think.
3,Transformational,Intellectual Stimulation,Item3,27.0,Has stimulated me to rethink the way I do things.,Has stimulated me to rethink the way I do things.
3,Transformational,Intellectual Stimulation,Item4,28.0,Has ideas that have challenged me to reexamine some of basic assumptions about my work.,Has ideas that have challenged me to reexamine some of basic assumptions about my work.
4,Transformational,Charisma/Inspirational,Item1,29.0,Proud of him/her,Proud of him/her
4,Transformational,Charisma/Inspirational,Item2,30.0,Goes beyond self-interest,Goes beyond self-interest
4,Transformational,Charisma/Inspirational,Item3,31.0,Has my respect,Has my respect
4,Transformational,Charisma/Inspirational,Item4,32.0,Display power and confidence,Display power and confidence
4,Transformational,Charisma/Inspirational,Item5,33.0,Talks of values,Talks of values
4,Transformational,Charisma/Inspirational,Item6,34.0,Models ethical standards,Models ethical standards
4,Transformational,Charisma/Inspirational,Item7,35.0,Considers the moral/ethical,Considers the moral/ethical
4,Transformational,Charisma/Inspirational,Item8,36.0,"Emphasizes the

collective mission","Emphasizes the

collective mission"
4,Transformational,Charisma/Inspirational,Item9,37.0,Talks optimistically,Talks optimistically
4,Transformational,Charisma/Inspirational,Item10,38.0,Expresses confidence,Expresses confidence
4,Transformational,Charisma/Inspirational,Item11,39.0,Talks enthusiastically,Talks enthusiastically
4,Transformational,Intellectual Stimulation,Item1,40.0,"Arouses awareness

about important issues","Arouses awareness

about important issues"
4,Transformational,Intellectual Stimulation,Item2,41.0,Re-examines assumptions,Re-examines assumptions
4,Transformational,Intellectual Stimulation,Item3,42.0,Seeks different views,Seeks different views
4,Transformational,Intellectual Stimulation,Item4,43.0,Suggests new ways,Suggests new ways
4,Transformational,Intellectual Stimulation,Item5,44.0,Suggests different angles,Suggests different angles
4,Transformational,Individualized Consideration,Item1,45.0,Individualizes attention,Individualizes attention
4,Transformational,Individualized Consideration,Item2,46.0,Focuses your strengths,Focuses your strengths
4,Transformational,Individualized Consideration,Item3,47.0,Teaches and coaches,Teaches and coaches
4,Transformational,Individualized Consideration,Item4,48.0,Differentiates among us,Differentiates among us
4,Transactional,Contingent Reward,Item1,49.0,Clarifies rewards,Clarifies rewards
4,Transactional,Contingent Reward,Item2,50.0,Assists based on effort,Assists based on effort
4,Transactional,Contingent Reward,Item3,51.0,Rewards your achievement,Rewards your achievement
4,Transactional,Contingent Reward,Item4,52.0,Recognizes your achievement,Recognizes your achievement
4,Transactional,Management-by-Exception-Active,Item1,53.0,Focuses on your mistakes,Focuses on your mistakes
4,Transactional,Management-by-Exception-Active,Item2,54.0,Puts out fires,Puts out fires
4,Transactional,Management-by-Exception-Active,Item3,55.0,Tracks your mistakes,Tracks your mistakes
4,Transactional,Management-by-Exception-Active,Item4,56.0,Concentrates on failures,Concentrates on failures
4,Passive/Avoidant,Passive/Avoidant,Item1,57.0,"Reacts to problems, if serious","Reacts to problems, if serious"
4,Passive/Avoidant,Passive/Avoidant,Item2,58.0,Reacts to failure,Reacts to failure
4,Passive/Avoidant,Passive/Avoidant,Item3,59.0,"If not broke, don't fix it","If not broke, don't fix it"
4,Passive/Avoidant,Passive/Avoidant,Item4,60.0,"Reacts to problems, if chronic","Reacts to problems, if chronic"
4,Passive/Avoidant,Passive/Avoidant,Item5,61.0,Avoids involvement,Avoids involvement
4,Passive/Avoidant,Passive/Avoidant,Item6,62.0,Absent when needed,Absent when needed
4,Passive/Avoidant,Passive/Avoidant,Item7,63.0,Avoids deciding,Avoids deciding
4,Passive/Avoidant,Passive/Avoidant,Item8,64.0,Delays responding,Delays responding
5,LMX,Affect,Item1,65.0,I like my supervisor very much as a person,I like my supervisor very much as a person
5,LMX,Affect,Item2,66.0,My supervisor is the kind of person one would like to have as a friend.,Is the kind of person one would like to have as a friend.
5,LMX,Affect,Item3,67.0,My supervisor is a lot of fun to work with.,Is a lot of fun to work with.
5,LMX,Loyalty,Item1,68.0,"My supervisor defends my work actions to a superior, even without complete knowledge of the issue in question.","Defends my work actions to a superior, even without complete knowledge of the issue in question."
5,LMX,Loyalty,Item2,69.0,"My supervisor would come to my defense if I were ""attacked"" by others.","Would come to my defense if I were ""attacked"" by others."
5,LMX,Loyalty,Item3,70.0,My supervisor would defend me to others in the organization if I made an honest mistake.,Would defend me to others in the organization if I made an honest mistake.
5,LMX,Contribution,Item1,71.0,"

I do work for my supervisor that goes beyond what is specified in my job description.","

I do work for my supervisor that goes beyond what is specified in my job description."
5,LMX,Contribution,Item2,72.0,"I am willing to apply extra efforts, beyond those normally required, to further the interests of my work group.","I am willing to apply extra efforts, beyond those normally required, to further the interests of my work group."
5,LMX,Professional Respect,Item1,73.0,I am impressed with my supervisor's knowledge of his/her job.,I am impressed with my supervisor's knowledge of his/her job.
5,LMX,Professional Respect,Item2,74.0,I respect my supervisor's knowledge of and competence on the job.,I respect my supervisor's knowledge of and competence on the job.
5,LMX,Professional Respect,Item3,75.0,I admire my supervisor's professional skills.,I admire my supervisor's professional skills.
6,Servant,Emotional Healing,Item1,76.0,I would seek help from my manager if I had a personal problem.,I would seek help from my manager if I had a personal problem.
6,Servant,Emotional Healing,Item2,77.0,My manager cares about my personal well-being.,Cares about my personal well-being.
6,Servant,Emotional Healing,Item3,78.0,My manager takes time to talk to me on a personal level.,Takes time to talk to me on a personal level.
6,Servant,Emotional Healing,Item4,79.0,My manager can recognize when I'm down without asking me.,Can recognize when I'm down without asking me.
6,Servant,Creating Value for the Community,Item1,80.0,My manager emphasizes the importance of giving back to the community.,Emphasizes the importance of giving back to the community.
6,Servant,Creating Value for the Community,Item2,81.0,My manager is always interested in helping people in our community.,Is always interested in helping people in our community.
6,Servant,Creating Value for the Community,Item3,82.0,My manager is involved in community activities.,Is involved in community activities.
6,Servant,Creating Value for the Community,Item4,83.0,I am encouraged by my manager to volunteer in the community.,I am encouraged by my manager to volunteer in the community.
6,Servant,Conceptual Skills,Item1,84.0,My manager can tell if something is going wrong.,Can tell if something is going wrong.
6,Servant,Conceptual Skills,Item2,85.0,My manager is able to effectively think through complex problems.,Is able to effectively think through complex problems.
6,Servant,Conceptual Skills,Item3,86.0,My manager has a thorough understanding of our organization and its goals.,Has a thorough understanding of our organization and its goals.
6,Servant,Conceptual Skills,Item4,87.0,My manager can solve work problems with new or creative ideas.,Can solve work problems with new or creative ideas.
6,Servant,Empowering,Item1,88.0,My manager gives me the responsibility to make important decisions about my job.,Gives me the responsibility to make important decisions about my job.
6,Servant,Empowering,Item2,89.0,My manager encourages me to handle important work decisions on my own.,Encourages me to handle important work decisions on my own.
6,Servant,Empowering,Item3,90.0,"My manager gives me the freedom to

handle difficult situations in the way that I

feel is best.","Gives me the freedom to

handle difficult situations in the way that I

feel is best."
6,Servant,Empowering,Item4,91.0,"When I have to make an important

decision at work, I do not have to consult

my manager first.","When I have to make an important

decision at work, I do not have to consult

my manager first."
6,Servant,Helping subordinates grow and succeed,Item1,92.0,"My manager makes my career

development a priority.","Makes my career

development a priority."
6,Servant,Helping subordinates grow and succeed,Item2,93.0,"My manager is interested in making sure

that I achieve my career goals.","Is interested in making sure

that I achieve my career goals."
6,Servant,Helping subordinates grow and succeed,Item3,94.0,"My manager provides me with work

experiences that enable me to develop

new skills.","Provides me with work

experiences that enable me to develop

new skills."
6,Servant,Helping subordinates grow and succeed,Item4,95.0,"My manager wants to know about my

career goals.","Wants to know about my

career goals."
6,Servant,Putting subordinates first,Item1,96.0,"My manager seems to care more about

my success than his/her own.","Seems to care more about

my success than his/her own."
6,Servant,Putting subordinates first,Item2,97.0,"My manager puts my best interests ahead

of his/her own.","Puts my best interests ahead

of his/her own."
6,Servant,Putting subordinates first,Item3,98.0,"My manager sacrifices his/her own

interests to meet my needs.","Sacrifices his/her own

interests to meet my needs."
6,Servant,Putting subordinates first,Item4,99.0,"My manager does what she/he can do to

make my job easier.","Does what she/he can do to

make my job easier."
6,Servant,Behaving ethically,Item1,100.0,My manager holds high ethical standards.,Holds high ethical standards.
6,Servant,Behaving ethically,Item2,101.0,My manager is always honest.,Is always honest.
6,Servant,Behaving ethically,Item3,102.0,My manager would not compromise ethical principles in order to achieve success.,Would not compromise ethical principles in order to achieve success.
6,Servant,Behaving ethically,Item4,103.0,My manager values honesty more than profits.,Values honesty more than profits.
20,Ethical,People orientation,Item1,104.0,Is interested in how I feel and how I am doing,Is interested in how I feel and how I am doing
20,Ethical,People orientation,Item2,105.0,Takes time for personal contact,Takes time for personal contact
20,Ethical,People orientation,Item3,106.0,Pays attention to my personal needs.,Pays attention to my personal needs.
20,Ethical,People orientation,Item4,107.0,Takes time to talk about work-related emotions,Takes time to talk about work-related emotions
20,Ethical,People orientation,Item5,108.0,Is genuinely concerned about my personal development,Is genuinely concerned about my personal development
20,Ethical,People orientation,Item6,109.0,Sympathizes with me when I have problems,Sympathizes with me when I have problems
20,Ethical,People orientation,Item7,110.0,Cares about his/her followers.,Cares about his/her followers.
20,Ethical,Fairness,Item1,111.0,Holds me accountable for problems over which I have no control.,Holds me accountable for problems over which I have no control.
20,Ethical,Fairness,Item2,112.0,Holds me responsible for work that I gave no control over.,Holds me responsible for work that I gave no control over.
