,Transformational,Servant,Ethical,Empowering,Charismatic,Initiating Structure,Consideration,Authentic,Abusive,Instrumental,Destructive
Transformational,0.9999999403953552,0.9028387069702148,0.9057890176773071,0.8573130369186401,0.9231449961662292,0.8716419339179993,0.9029350876808167,0.8157769441604614,0.47576797008514404,0.9346293210983276,0.9053518176078796
Servant,0.9028387069702148,0.9999998807907104,0.9066907167434692,0.8839931488037109,0.891127347946167,0.8208050727844238,0.8898224830627441,0.8005168437957764,0.5450961589813232,0.8438999056816101,0.8604185581207275
Ethical,0.9057890176773071,0.9066907167434692,0.9999998807907104,0.8127720355987549,0.8970634937286377,0.87973952293396,0.8923216462135315,0.7667170763015747,0.5496106147766113,0.9048517346382141,0.9476377367973328
Empowering,0.8573130369186401,0.8839931488037109,0.8127720355987549,1.0000001192092896,0.8480415344238281,0.8215880393981934,0.8027140498161316,0.8144007325172424,0.3669021725654602,0.8464037179946899,0.8111844062805176
Charismatic,0.9231449961662292,0.891127347946167,0.8970634937286377,0.8480415344238281,1.0000001192092896,0.8572180271148682,0.9075465202331543,0.8351577520370483,0.37527674436569214,0.8899778127670288,0.8743122816085815
Initiating Structure,0.8716419339179993,0.8208050727844238,0.87973952293396,0.8215880393981934,0.8572180271148682,0.9999999403953552,0.9193999767303467,0.7950910329818726,0.37160176038742065,0.8694548606872559,0.9053179025650024
Consideration,0.9029350876808167,0.8898224830627441,0.8923216462135315,0.8027140498161316,0.9075465202331543,0.9193999767303467,1.0000001192092896,0.8402814865112305,0.4607962667942047,0.8303454518318176,0.903652548789978
Authentic,0.8157769441604614,0.8005168437957764,0.7667170763015747,0.8144007325172424,0.8351577520370483,0.7950910329818726,0.8402814865112305,0.9999998807907104,0.28780508041381836,0.7347731590270996,0.7626579403877258
Abusive,0.47576797008514404,0.5450961589813232,0.5496106147766113,0.3669021725654602,0.37527674436569214,0.37160176038742065,0.4607962667942047,0.28780508041381836,1.0000001192092896,0.36765021085739136,0.5269784331321716
Instrumental,0.9346293210983276,0.8438999056816101,0.9048517346382141,0.8464037179946899,0.8899778127670288,0.8694548606872559,0.8303454518318176,0.7347731590270996,0.36765021085739136,0.9999998807907104,0.8898235559463501
Destructive,0.9053518176078796,0.8604185581207275,0.9476377367973328,0.8111844062805176,0.8743122816085815,0.9053179025650024,0.903652548789978,0.7626579403877258,0.5269784331321716,0.8898235559463501,0.9999999403953552
